graph_id,atom_num
18,6
18,6
18,6
18,6
18,6
18,8
18,6
18,8
18,7
18,6
18,7
18,6
18,8
18,7
18,6
18,6
18,9
18,6
18,6
18,6
18,6
18,8
18,6
18,8
18,8
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,6
19,7
19,6
19,8
19,7
20,6
20,8
20,6
20,6
20,6
20,6
20,6
20,6
20,8
20,6
20,6
20,7
20,6
20,6
20,6
20,8
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,6
20,7
20,8
21,6
21,6
21,6
21,6
21,6
21,6
21,6
21,6
21,6
21,6
21,7
21,7
21,6
21,6
21,6
21,6
21,6
21,6
21,16
21,8
21,8
21,7
21,6
21,9
21,9
21,9
22,6
22,6
22,6
22,7
22,6
22,6
22,6
22,8
22,7
22,6
22,8
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,7
22,16
22,6
22,6
22,8
22,8
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,8
23,8
23,7
23,6
23,6
23,17
23,6
23,6
23,17
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,8
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,8
24,8
24,6
24,8
24,6
24,6
24,6
24,6
24,6
24,8
24,6
24,8
24,6
24,8
24,6
24,6
24,8
24,6
24,6
24,6
24,6
24,6
24,8
24,6
24,7
24,6
24,6
24,8
24,6
24,8
24,6
24,6
24,6
24,8
24,6
24,8
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,6
25,17
25,7
25,6
25,6
25,7
25,6
26,6
26,6
26,7
26,15
26,8
26,8
26,6
26,7
26,6
26,6
26,17
26,6
26,6
26,17
27,6
27,7
27,6
27,7
27,7
27,6
27,6
27,7
27,6
27,7
27,6
27,8
27,7
28,6
28,6
28,6
28,6
28,6
28,6
28,6
28,17
28,7
28,6
28,8
28,6
28,6
28,7
28,6
28,16
28,7
28,6
28,6
28,6
28,7
28,6
28,7
28,6
28,7
28,6
28,6
28,7
28,6
28,6
28,6
28,6
28,8
29,6
29,6
29,6
29,6
29,6
29,6
29,6
29,6
29,17
29,6
29,6
29,6
29,6
29,7
29,6
29,6
29,6
29,6
29,6
29,6
29,6
29,7
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,8
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,6
30,8
30,6
30,8
30,8
30,6
30,8
30,9
30,6
31,6
31,6
31,6
31,6
31,6
31,8
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,8
31,6
31,8
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,7
31,6
31,8
31,8
31,6
31,6
31,6
31,6
31,8
31,8
31,8
31,6
31,8
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,8
31,8
31,6
31,8
31,6
31,8
31,6
31,8
32,6
32,6
32,6
32,6
32,6
32,6
32,8
32,8
32,6
32,6
32,6
32,6
32,6
32,6
32,6
32,6
32,6
32,6
32,8
32,6
32,8
32,6
32,6
32,6
32,8
32,6
32,6
32,6
32,6
32,8
32,6
32,8
32,6
32,8
32,6
32,8
32,8
32,7
32,8
33,6
33,8
33,6
33,6
33,8
33,6
33,6
33,6
33,6
33,6
33,6
33,6
33,7
33,6
33,7
33,7
33,6
33,6
33,6
33,6
33,6
33,6
33,6
33,6
33,8
33,6
33,6
33,8
33,6
34,6
34,6
34,8
34,6
34,6
34,6
34,8
34,6
34,6
34,6
34,8
34,8
34,6
34,6
34,6
34,8
34,6
34,8
34,6
34,6
34,6
34,6
34,6
34,6
34,6
34,6
34,8
34,6
34,8
34,6
34,6
34,6
34,6
34,6
34,6
34,8
34,6
34,8
34,8
34,6
34,8
34,8
35,6
35,6
35,6
35,6
35,6
35,6
35,6
35,6
35,6
35,6
35,8
35,6
35,6
35,6
35,6
35,6
35,6
35,8
35,6
35,6
35,6
35,6
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,8
36,7
36,6
36,6
36,6
36,6
36,6
36,6
36,9
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,6
36,9
36,8
36,8
37,6
37,6
37,7
37,6
37,16
37,7
37,6
37,7
37,7
37,6
37,16
37,6
37,6
37,6
37,7
37,16
37,8
37,8
37,7
37,7
38,6
38,6
38,8
38,6
38,8
38,6
38,6
38,7
38,6
38,6
38,6
38,6
38,6
38,6
38,6
38,6
38,6
38,17
38,17
38,6
38,8
38,8
38,6
38,6
38,6
39,6
39,6
39,6
39,8
39,6
39,8
39,6
39,6
39,6
39,8
39,6
39,6
39,6
39,6
39,6
39,6
39,6
39,8
39,6
39,6
39,6
39,6
39,6
39,6
39,17
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,8
40,7
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,6
40,8
40,7
40,6
41,6
41,6
41,6
41,6
41,6
41,6
41,9
41,9
41,6
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,6
41,7
41,8
42,6
42,7
42,6
42,6
42,7
42,6
42,7
42,6
42,7
42,6
42,6
42,6
42,6
42,8
42,6
42,8
42,8
42,8
42,9
42,7
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,8
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,8
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,6
43,16
43,8
43,6
43,6
43,6
43,6
43,6
43,9
43,9
43,9
43,9
43,9
44,6
44,6
44,8
44,6
44,6
44,6
44,7
44,6
44,6
44,6
44,6
44,6
44,6
44,6
44,8
44,8
44,16
44,8
44,8
44,7
44,17
45,6
45,8
45,6
45,6
45,6
45,6
45,6
45,6
45,7
45,6
45,7
45,6
45,7
45,6
45,6
45,6
45,6
45,6
45,6
45,9
45,17
45,8
45,6
45,6
45,6
45,7
45,6
45,6
45,8
45,6
45,6
46,6
46,6
46,7
46,6
46,8
46,7
46,6
46,7
46,6
46,6
46,6
46,6
46,8
46,6
46,8
46,8
46,9
46,9
47,6
47,7
47,6
47,6
47,6
47,6
47,6
47,6
47,16
47,8
47,8
47,7
47,16
47,8
47,8
47,7
